場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST,級別_num,is_win,展示順位,全国勝率順位,当地勝率順位,モーター順位,ボート順位,平均ST順位,展示平均との差,全国勝率平均との差,当地勝率平均との差,モーター平均との差,ボート平均との差,インコース,F持ち,軽量,展示1位,モーター上位,全国勝率上位,PAMU指数,PAMU指数V2,PAMU順位,AI_1着確率,AI_1着確率%,AI確率,AI確率%
1,1,1,6.77,0.0,52.0kg,4,3.71,11.24,28.09,4.32,15.83,40.0,51,28.81,38.98,53,25.56,40.6,3827,B1,今泉,徹  群馬,群馬,52,52.0,0.0,0.0,0.17,2,0,5.0,6.0,4.0,4.0,5.0,3.0,0.0350000000000001,-1.25,-0.753333333333333,-1.8450000000000024,-6.336666666666666,1,0,1,0,0,0,121.0,85.30000000000001,5.0,0.092,9.2,0.2346938775510204,23.5
1,1,2,6.72,-0.5,56.0kg,2,5.72,36.78,58.62,5.9,40.0,65.0,24,36.3,64.38,68,28.57,44.29,4214,B1,林,祐介  岡山,岡山,41,56.0,0.0,0.0,0.16,2,0,2.0,3.0,2.0,2.0,4.0,1.0,-0.0149999999999996,0.7599999999999998,0.8266666666666671,5.644999999999996,-3.3266666666666644,0,0,0,0,1,0,177.0,116.3,1.0,0.154,15.4,0.39285714285714285,39.3
1,1,3,6.72,-0.5,56.2kg,1,4.1,14.08,33.8,4.6,20.0,50.0,47,30.14,44.52,45,41.79,59.7,3748,B1,小黒,竜吾  埼玉,埼玉,50,56.2,1.0,0.0,0.16,2,1,2.0,5.0,3.0,3.0,1.0,1.0,-0.0149999999999996,-0.8600000000000003,-0.4733333333333336,-0.5150000000000006,9.893333333333334,0,1,0,0,0,0,141.0,97.5,4.0,0.028,2.8,0.07142857142857142,7.1
1,1,4,6.82,-0.5,55.2kg,3,4.25,23.19,31.88,4.13,12.5,37.5,25,25.26,37.89,12,31.11,46.67,5268,B1,山本,幸也  福岡,福岡,25,55.2,0.0,0.0,0.2,2,0,6.0,4.0,6.0,5.0,3.0,6.0,0.0850000000000008,-0.71,-0.9433333333333334,-5.395,-0.7866666666666653,0,0,0,0,0,0,73.0,78.3,6.0,0.008,0.8,0.02040816326530612,2.0
1,1,5,6.63,0.0,52.0kg,6,5.86,40.79,55.26,4.27,9.09,45.45,19,25.25,37.37,65,23.91,39.13,3769,A2,佐竹,恒彦  滋賀,滋賀,52,52.0,0.0,0.0,0.17,3,0,1.0,2.0,5.0,6.0,6.0,3.0,-0.1049999999999995,0.9000000000000004,-0.8033333333333337,-5.405000000000001,-7.986666666666665,0,0,1,1,0,1,123.0,111.19999999999999,2.0,0.03,3.0,0.07653061224489795,7.7
1,1,6,6.75,-0.5,53.8kg,5,6.12,45.45,62.34,7.22,55.56,80.56,33,38.17,53.44,60,40.44,51.47,3872,A2,岡田,憲行  大阪,大阪,50,53.8,0.0,0.0,0.18,3,0,4.0,1.0,1.0,1.0,2.0,5.0,0.0150000000000005,1.16,2.1466666666666665,7.515000000000001,8.543333333333333,0,0,0,0,1,1,130.0,109.9,3.0,0.08,8.0,0.20408163265306123,20.4
1,2,1,6.66,-0.5,57.5kg,1,4.28,17.65,33.82,3.31,7.69,30.77,28,38.58,55.91,17,35.92,56.34,4010,B1,越智,照浩  香川,愛媛,46,57.5,0.0,0.0,0.17,2,1,3.0,6.0,4.0,3.0,4.0,3.0,-0.0383333333333331,-1.041666666666666,-0.3183333333333333,1.981666666666662,0.1666666666666714,1,0,0,0,0,0,142.0,91.6,4.0,0.852,85.2,0.8606060606060606,86.1
1,2,2,6.79,0.0,55.4kg,5,4.61,26.83,40.24,4.67,27.78,44.44,13,27.78,46.83,19,39.69,52.67,4332,B1,村上,彰一  福岡,福岡,42,55.4,1.0,0.0,0.19,2,0,5.0,5.0,3.0,6.0,1.0,6.0,0.0916666666666667,-0.711666666666666,1.0416666666666663,-8.818333333333335,3.936666666666667,0,1,0,0,0,0,97.0,70.0,6.0,0.018,1.8,0.01818181818181818,1.8
1,2,3,6.81,-0.5,52.1kg,2,5.79,44.78,64.18,5.73,36.36,54.55,14,43.81,62.86,57,37.04,49.63,5111,A2,三村,岳人  岡山,岡山,26,52.1,0.0,0.0,0.15,3,0,6.0,2.0,1.0,1.0,3.0,2.0,0.1116666666666663,0.4683333333333337,2.101666666666667,7.211666666666666,1.2866666666666688,0,0,0,0,1,1,147.0,125.9,1.0,0.04,4.0,0.04040404040404041,4.0
1,2,4,6.61,-0.5,51.5kg,3,4.94,24.32,47.75,4.78,22.22,44.44,74,39.73,60.96,38,37.41,61.15,3934,B1,鋤柄,貴俊  愛知,愛知,49,51.5,0.0,0.0,0.17,2,0,2.0,4.0,2.0,2.0,2.0,3.0,-0.0883333333333329,-0.3816666666666659,1.1516666666666668,3.1316666666666606,1.6566666666666665,0,0,1,0,1,0,145.0,107.9,3.0,0.028,2.8,0.028282828282828285,2.8
