場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST
1,1,1,6.77,0.0,52.0kg,4,3.71,11.24,28.09,4.32,15.83,40.0,51,28.81,38.98,53,25.56,40.6,3827,B1,今泉,徹  群馬,群馬,52,52.0,0.0,0,0.17
1,1,2,6.72,-0.5,56.0kg,2,5.72,36.78,58.62,5.9,40.0,65.0,24,36.3,64.38,68,28.57,44.29,4214,B1,林,祐介  岡山,岡山,41,56.0,0.0,0,0.16
1,1,3,6.72,-0.5,56.2kg,1,4.1,14.08,33.8,4.6,20.0,50.0,47,30.14,44.52,45,41.79,59.7,3748,B1,小黒,竜吾  埼玉,埼玉,50,56.2,1.0,0,0.16
1,1,4,6.82,-0.5,55.2kg,3,4.25,23.19,31.88,4.13,12.5,37.5,25,25.26,37.89,12,31.11,46.67,5268,B1,山本,幸也  福岡,福岡,25,55.2,0.0,0,0.20
1,1,5,6.63,0.0,52.0kg,6,5.86,40.79,55.26,4.27,9.09,45.45,19,25.25,37.37,65,23.91,39.13,3769,A2,佐竹,恒彦  滋賀,滋賀,52,52.0,0.0,0,0.17
1,1,6,6.75,-0.5,53.8kg,5,6.12,45.45,62.34,7.22,55.56,80.56,33,38.17,53.44,60,40.44,51.47,3872,A2,岡田,憲行  大阪,大阪,50,53.8,0.0,0,0.18
1,2,1,6.66,-0.5,57.5kg,1,4.28,17.65,33.82,3.31,7.69,30.77,28,38.58,55.91,17,35.92,56.34,4010,B1,越智,照浩  香川,愛媛,46,57.5,0.0,0,0.17
1,2,2,6.79,0.0,55.4kg,5,4.61,26.83,40.24,4.67,27.78,44.44,13,27.78,46.83,19,39.69,52.67,4332,B1,村上,彰一  福岡,福岡,42,55.4,1.0,0,0.19
1,2,3,6.81,-0.5,52.1kg,2,5.79,44.78,64.18,5.73,36.36,54.55,14,43.81,62.86,57,37.04,49.63,5111,A2,三村,岳人  岡山,岡山,26,52.1,0.0,0,0.15
1,2,4,6.61,-0.5,51.5kg,3,4.94,24.32,47.75,4.78,22.22,44.44,74,39.73,60.96,38,37.41,61.15,3934,B1,鋤柄,貴俊  愛知,愛知,49,51.5,0.0,0,0.17
1,2,5,6.74,-0.5,53.8kg,4,5.07,25.61,46.34,3.28,5.56,22.22,49,38.3,48.94,20,32.61,46.38,4343,B1,村岡,賢  広島,広島,41,53.8,0.0,0,0.17
1,2,6,6.58,-0.5,51.0kg,6,7.24,53.33,76.0,0.0,0.0,0.0,72,31.39,52.55,58,31.85,48.89,4812,A1,西野,雄貴  徳島,徳島,36,51.0,0.0,0,0.14
1,3,1,6.61,-0.5,55.2kg,1,5.11,36.9,48.81,4.65,25.58,41.86,21,32.65,49.66,23,43.8,57.66,3712,B1,淺香,文武  三重,三重,51,55.2,0.0,0,0.17
1,3,2,6.83,0.0,51.5kg,2,4.42,23.6,39.33,3.61,16.67,22.22,39,21.84,34.48,75,30.3,49.24,4093,B1,吉田,宗弘  東京,東京,45,51.5,1.0,0,0.19
1,3,3,6.81,-0.5,52.0kg,3,6.78,55.68,67.05,5.59,50.0,54.55,31,36.84,48.87,73,37.32,54.23,4910,A1,中村,泰平  愛知,愛知,30,52.0,0.0,0,0.15
1,3,4,6.59,0.0,52.0kg,5,5.39,31.82,55.68,3.56,11.11,27.78,63,17.02,32.98,50,31.16,47.83,4179,A2,広次,修  山口,山口,43,52.0,0.0,0,0.15
1,3,5,6.81,-0.5,56.0kg,4,3.65,16.67,25.0,3.85,22.22,33.33,52,26.97,40.45,48,40.44,56.62,3741,B1,松尾,基成  福岡,福岡,52,56.0,0.0,0,0.17
1,3,6,6.65,0.0,52.1kg,6,4.25,23.68,39.47,4.33,11.11,50.0,40,34.48,53.1,22,31.65,54.68,3432,B1,宮迫,暢彦  大阪,大阪,58,52.1,1.0,0,0.18
